정류장번호,위도,경도,도시명
1833,35.23478056,126.9557417,광주광역시
1834,35.23808056,126.9551222,광주광역시
1835,35.25496944,126.9571972,광주광역시
1836,35.26043333,126.9600861,광주광역시
1838,35.264425,126.9586389,광주광역시
1839,35.26939722,126.9587361,광주광역시
1840,35.2765,126.9564861,광주광역시
1855,35.30113333,126.9278333,광주광역시
1857,35.29496111,126.9237139,광주광역시
1858,35.29335278,126.9209194,광주광역시
1860,35.28903889,126.9139194,광주광역시
1861,35.28766667,126.9088611,광주광역시
1863,35.28485,126.8979444,광주광역시
1865,35.27812222,126.8905972,광주광역시
1867,35.27464722,126.8885667,광주광역시
1868,35.26055556,126.8898139,광주광역시
1869,35.25160833,126.8909889,광주광역시
1871,35.24637222,126.8875556,광주광역시
1872,35.24433889,126.8905833,광주광역시
1873,35.24222222,126.8977611,광주광역시
1877,35.243207,126.910541,광주광역시
1878,35.244187,126.914817,광주광역시
1880,35.244154,126.915392,광주광역시
